"season;race_num;race_name;race_date;drive;car;team;team_group;rank;grid;laps;duration;retired;ptsl;points"
"1;3;2014 Punta del Este;13/12/2014;Nico Prost;8;e.dams-Renault;Nissan-Renault;7;3;31;6514;0;6,0,0;6"
"1;3;2014 Punta del Este;13/12/2014;Jérôme d'Ambrosio;7;Dragon Racing;Dragon;8;17;31;7567;0;4,0,0;4"
"1;3;2014 Punta del Este;13/12/2014;Oriol Servià;6;Dragon Racing;Dragon;9;11;31;8646;0;2,0,0;2"
"1;3;2014 Punta del Este;13/12/2014;Nick Heidfeld;23;Venturi;Venturi;10;8;31;10563;0;1,0,0;1"
"1;3;2014 Punta del Este;13/12/2014;Antonio Garcia;88;China Racing;NIO-NextEV;11;14;31;10594;0;0,0,0;0"
"1;3;2014 Punta del Este;13/12/2014;Michela Cerruti;18;Trulli;Trulli;12;16;31;19617;0;0,0,0;0"
"1;3;2014 Punta del Este;13/12/2014;Karun Chandhok;5;Mahindra Racing;Mahindra;13;10;31;54175;0;0,0,0;0"
"1;3;2014 Punta del Este;13/12/2014;Jean-Éric Vergne;27;Andretti;BMW-Andretti;14;1;29;+2 laps;0;0,3,0;3"
"1;3;2014 Punta del Este;13/12/2014;Daniel Abt;66;Audi Sport ABT;Audi;15;9;28;+3 laps;0;0,0,2;2"
"1;3;2014 Punta del Este;13/12/2014;Salvador Durán;77;Amlin Aguri;Techeetah;16;15;27;+4 laps;0;0,0,0;0"
"1;3;2014 Punta del Este;13/12/2014;António Félix da Costa;55;Amlin Aguri;Techeetah;99;12;6;99:99.999;1;0,0,0;0"
"1;3;2014 Punta del Este;13/12/2014;Matthew Brabham;28;Andretti;BMW-Andretti;99;19;26;99:99.999;1;0,0,0;0"
"1;3;2014 Punta del Este;13/12/2014;Sam Bird;3;Virgin Racing;Virgin;99;18;3;99:99.999;1;0,0,0;0"
"1;3;2014 Punta del Este;13/12/2014;Stéphane Sarrazin;30;Venturi;Venturi;99;13;15;99:99.999;1;0,0,0;0"
"1;4;2015 Buenos Aires;10/01/2015;António Félix da Costa;55;Amlin Aguri;Techeetah;1;8;35;48:52.100;0;25,0,0;25"
"1;4;2015 Buenos Aires;10/01/2015;Nico Prost;8;e.dams-Renault;Nissan-Renault;2;7;35;+5.354s;0;18,0,0;18"
"1;4;2015 Buenos Aires;10/01/2015;Nelson Piquet Jr.;99;China Racing;NIO-NextEV;3;9;35;+8.552s;0;15,0,0;15"
"1;4;2015 Buenos Aires;10/01/2015;Jaime Alguersuari;3;Virgin Racing;Virgin;4;2;35;+11.148s;0;12,0,0;12"
"1;4;2015 Buenos Aires;10/01/2015;Bruno Senna;21;Mahindra Racing;Mahindra;5;19;35;+11.535s;0;10,0,0;10"
"1;4;2015 Buenos Aires;10/01/2015;Jean-Éric Vergne;27;Andretti;BMW-Andretti;6;6;35;+13.319s;0;8,0,0;8"
"1;4;2015 Buenos Aires;10/01/2015;Sam Bird;2;Virgin Racing;Virgin;7;4;35;+13.617s;0;6,0,2;8"
