"season;race_num;race_name;race_date;drive;car;team;team_group;rank;grid;laps;duration;retired;ptsl;points"
"1;11;2015 London race 2;28/06/2015;Bruno Senna;21;Mahindra Racing;Mahindra;4;5;29;10147;0;12,0,0;12"
"1;11;2015 London race 2;28/06/2015;Sébastien Buemi;9;e.dams-Renault;Nissan-Renault;5;6;29;10689;0;10,0,0;10"
"1;11;2015 London race 2;28/06/2015;Lucas di Grassi;11;Audi Sport ABT;Audi;6;11;29;11204;0;8,0,0;8"
"1;11;2015 London race 2;28/06/2015;Nelson Piquet Jr.;99;NEXTEV TCR;NIO-NextEV;7;16;29;11561;0;6,0,0;6"
"1;11;2015 London race 2;28/06/2015;Salvador Durán;77;Amlin Aguri;Techeetah;8;8;29;12402;0;4,0,0;4"
"1;11;2015 London race 2;28/06/2015;Oliver Turvey;88;NEXTEV TCR;NIO-NextEV;9;12;29;14142;0;2,0,0;2"
"1;11;2015 London race 2;28/06/2015;Nico Prost;8;e.dams-Renault;Nissan-Renault;10;15;29;14535;0;1,0,0;1"
"1;11;2015 London race 2;28/06/2015;Daniel Abt;66;Audi Sport ABT;Audi;11;18;29;23170;0;0,0,0;0"
"1;11;2015 London race 2;28/06/2015;Simona de Silvestro;28;Andretti Autosport;BMW-Andretti;12;13;29;24610;0;0,0,0;0"
"1;11;2015 London race 2;28/06/2015;Karun Chandhok;5;Mahindra Racing;Mahindra;13;19;29;31501;0;0,0,0;0"
"1;11;2015 London race 2;28/06/2015;Alex Fontana;18;Trulli GP;Trulli;14;9;29;38423;0;0,0,0;0"
"1;11;2015 London race 2;28/06/2015;Stéphane Sarrazin;30;Venturi Grand Prix;Venturi;15;1;29;486802;0;0,3,0;3"
"1;11;2015 London race 2;28/06/2015;Jean-Éric Vergne;27;Andretti Autosport;BMW-Andretti;16;14;28;+1 lap;0;0,0,0;0"
"1;11;2015 London race 2;28/06/2015;Fabio Leimer;3;Virgin Racing;Virgin;99;17;17;99:99.999;1;0,0,0;0"
"1;11;2015 London race 2;28/06/2015;Jarno Trulli;10;Trulli GP;Trulli;99;10;14;99:99.999;1;0,0,0;0"
"1;11;2015 London race 2;28/06/2015;Nick Heidfeld;23;Venturi Grand Prix;Venturi;99;7;23;99:99.999;1;0,0,0;0"
"1;11;2015 London race 2;28/06/2015;Sakon Yamamoto;55;Amlin Aguri;Techeetah;99;20;6;99:99.999;1;0,0,0;0"
"2;1;2015 Beijing;24/10/2015;Sébastien Buemi;9;Renault e.Dams;Nissan-Renault;1;1;26;50:08.835;0;25,3,2;30"
"2;1;2015 Beijing;24/10/2015;Lucas di Grassi;11;ABT Schaeffler Audi Sport;Audi;2;4;26;11006;0;18,0,0;18"
"2;1;2015 Beijing;24/10/2015;Nick Heidfeld;23;Mahindra Racing;Mahindra;3;3;26;15681;0;15,0,0;15"
"2;1;2015 Beijing;24/10/2015;Loïc Duval;6;Dragon Racing;Dragon;4;8;26;16009;0;12,0,0;12"
"2;1;2015 Beijing;24/10/2015;Jérôme d'Ambrosio;7;Dragon Racing;Dragon;5;10;26;16514;0;10,0,0;10"
"2;1;2015 Beijing;24/10/2015;Oliver Turvey;88;NEXTEV TCR;NIO-NextEV;6;15;26;39466;0;8,0,0;8"
"2;1;2015 Beijing;24/10/2015;Sam Bird;2;DS Virgin Racing;Virgin;7;9;26;47531;0;6,0,0;6"
"2;1;2015 Beijing;24/10/2015;Nathanaël Berthon;77;Team Aguri;Techeetah;8;17;26;58620;0;4,0,0;4"
"2;1;2015 Beijing;24/10/2015;Stéphane Sarrazin;4;Venturi;Venturi;9;6;26;+1:07.814;0;2,0,0;2"
"2;1;2015 Beijing;24/10/2015;Robin Frijns;27;Amlin Andretti;BMW-Andretti;10;13;26;+1:09.260;0;1,0,0;1"
"2;1;2015 Beijing;24/10/2015;Daniel Abt;66;ABT Schaeffler Audi Sport;Audi;11;11;26;+1:13.3513;0;0,0,0;0"
"2;1;2015 Beijing;24/10/2015;Jean-Éric Vergne;25;DS Virgin Racing;Virgin;12;5;26;+1:31.040;0;0,0,0;0"
"2;1;2015 Beijing;24/10/2015;Bruno Senna;21;Mahindra Racing;Mahindra;13;7;26;+1:50.833;0;0,0,0;0"
"2;1;2015 Beijing;24/10/2015;Jacques Villeneuve;12;Venturi;Venturi;14;12;25;+1 Lap;0;0,0,0;0"
"2;1;2015 Beijing;24/10/2015;Nelson Piquet Jr.;1;NEXTEV TCR;NIO-NextEV;15;18;24;+2 Laps;0;0,0,0;0"
"2;1;2015 Beijing;24/10/2015;António Félix da Costa;55;Team Aguri;Techeetah;99;16;13;99:99.999;1;0,0,0;0"
"2;1;2015 Beijing;24/10/2015;Nico Prost;8;Renault e.dams;Nissan-Renault;99;2;22;99:99.999;1;0,0,0;0"
"2;1;2015 Beijing;24/10/2015;Salvador Durán;10;Trulli;Trulli;99;99;0;99:99.999;1;0,0,0;0"
"2;1;2015 Beijing;24/10/2015;Simona de Silvestro;28;Amlin Andretti;BMW-Andretti;99;14;2;99:99.999;1;0,0,0;0"
"2;1;2015 Beijing;24/10/2015;Vitantonio Liuzzi;18;Trulli;Trulli;99;99;0;99:99.999;1;0,0,0;0"
"2;2;2015 Putrajaya;07/11/2015;Lucas di Grassi;11;ABT Schaeffler Audi Sport;Audi;1;6;33;50:17.449;0;25,0,0;25"
"2;2;2015 Putrajaya;07/11/2015;Sam Bird;2;DS Virgin Racing;Virgin;2;14;33;13884;0;18,0,0;18"
"2;2;2015 Putrajaya;07/11/2015;Robin Frijns;27;Amlin Andretti;BMW-Andretti;3;8;33;29776;0;15,0,0;15"
"2;2;2015 Putrajaya;07/11/2015;Stéphane Sarrazin;4;Venturi;Venturi;4;26;33;32628;0;12,0,0;12"
"2;2;2015 Putrajaya;07/11/2015;Bruno Senna;21;Mahindra Racing;Mahindra;5;9;33;34404;0;10,0,0;10"
"2;2;2015 Putrajaya;07/11/2015;António Félix da Costa;55;Team Aguri;Techeetah;6;4;33;36925;0;8,0,0;8"
"2;2;2015 Putrajaya;07/11/2015;Daniel Abt;66;ABT Schaeffler Audi Sport;Audi;7;10;33;37283;0;6,0,0;6"
"2;2;2015 Putrajaya;07/11/2015;Nelson Piquet Jr.;1;NEXTEV TCR;NIO-NextEV;8;16;33;40623;0;4,0,0;4"
"2;2;2015 Putrajaya;07/11/2015;Nick Heidfeld;23;Mahindra Racing;Mahindra;9;11;33;52904;0;2,0,0;2"
"2;2;2015 Putrajaya;07/11/2015;Nico Prost;8;Renault e.dams;Nissan-Renault;10;5;33;53695;0;1,0,0;1"
"2;2;2015 Putrajaya;07/11/2015;Jacques Villeneuve;12;Venturi;Venturi;11;12;33;58698;0;0,0,0;0"
"2;2;2015 Putrajaya;07/11/2015;Sébastien Buemi;9;Renault e.Dams;Nissan-Renault;12;1;33;+1:07.728;0;0,3,2;5"
"2;2;2015 Putrajaya;07/11/2015;Simona de Silvestro;28;Amlin Andretti;BMW-Andretti;13;18;33;+1:24.464;0;0,0,0;0"
"2;2;2015 Putrajaya;07/11/2015;Jérôme d'Ambrosio;7;Dragon Racing;Dragon;14;7;32;+1 lap;0;0,0,0;0"
"2;2;2015 Putrajaya;07/11/2015;Nathanaël Berthon;77;Team Aguri;Techeetah;15;15;32;+1 lap;0;0,0,0;0"
"2;2;2015 Putrajaya;07/11/2015;Loïc Duval;6;Dragon Racing;Dragon;16;3;29;+4 laps;0;0,0,0;0"
"2;2;2015 Putrajaya;07/11/2015;Jean-Éric Vergne;25;DS Virgin Racing;Virgin;99;13;0;99:99.999;1;0,0,0;0"
"2;2;2015 Putrajaya;07/11/2015;Oliver Turvey;88;NEXTEV TCR;NIO-NextEV;99;17;4;99:99.999;1;0,0,0;0"
"2;3;2015 Punta del Este;19/12/2015;Sébastien Buemi;9;Renault e.Dams;Nissan-Renault;1;5;33;45:59.697;0;25,0,2;27"
"2;3;2015 Punta del Este;19/12/2015;Lucas di Grassi;11;ABT Schaeffler Audi Sport;Audi;2;4;33;3534;0;18,0,0;18"
"2;3;2015 Punta del Este;19/12/2015;Jérôme d'Ambrosio;7;Dragon Racing;Dragon;3;1;33;6725;0;15,3,0;18"
"2;3;2015 Punta del Este;19/12/2015;Loïc Duval;6;Dragon Racing;Dragon;4;2;33;6807;0;12,0,0;12"
"2;3;2015 Punta del Este;19/12/2015;Nico Prost;8;Renault e.dams;Nissan-Renault;5;6;33;21057;0;10,0,0;10"
"2;3;2015 Punta del Este;19/12/2015;António Félix da Costa;55;Team Aguri;Techeetah;6;8;33;22410;0;8,0,0;8"
"2;3;2015 Punta del Este;19/12/2015;Jean-Éric Vergne;25;DS Virgin Racing;Virgin;7;17;33;57726;0;6,0,0;6"
"2;3;2015 Punta del Este;19/12/2015;Daniel Abt;66;ABT Schaeffler Audi Sport;Audi;8;7;33;+1:00.744;0;4,0,0;4"
"2;3;2015 Punta del Este;19/12/2015;Stéphane Sarrazin;4;Venturi;Venturi;9;13;33;+1:03.559;0;2,0,0;2"
"2;3;2015 Punta del Este;19/12/2015;Robin Frijns;27;Amlin Andretti;BMW-Andretti;10;11;33;+1:03.840;0;1,0,0;1"
"2;3;2015 Punta del Este;19/12/2015;Simona de Silvestro;28;Amlin Andretti;BMW-Andretti;11;15;32;+1 lap;0;0,0,0;0"
"2;3;2015 Punta del Este;19/12/2015;Oliver Turvey;88;NEXTEV TCR;NIO-NextEV;12;10;32;+1 lap;0;0,0,0;0"
"2;3;2015 Punta del Este;19/12/2015;Oliver Rowland;23;Mahindra Racing;Mahindra;13;16;32;+1 lap;0;0,0,0;0"
"2;3;2015 Punta del Este;19/12/2015;Nathanaël Berthon;77;Team Aguri;Techeetah;14;14;32;+1 lap;0;0,0,0;0"
"2;3;2015 Punta del Este;19/12/2015;Nelson Piquet Jr.;1;NEXTEV TCR;NIO-NextEV;99;12;31;99:99.999;1;0,0,0;0"
"2;3;2015 Punta del Este;19/12/2015;Bruno Senna;21;Mahindra Racing;Mahindra;99;9;26;99:99.999;1;0,0,0;0"
"2;3;2015 Punta del Este;19/12/2015;Jacques Villeneuve;12;Venturi;Venturi;99;99;0;99:99.999;1;0,0,0;0"
"2;3;2015 Punta del Este;19/12/2015;Sam Bird;2;DS Virgin Racing;Virgin;99;3;17;99:99.999;1;0,0,0;0"
"2;4;2016 Buenos Aires;06/02/2016;Sam Bird;2;DS Virgin Racing;Virgin;1;1;35;45:28.385;0;25,3,0;28"
"2;4;2016 Buenos Aires;06/02/2016;Sébastien Buemi;9;Renault e.Dams;Nissan-Renault;2;18;35;+0.716;0;18,0,0;18"
"2;4;2016 Buenos Aires;06/02/2016;Lucas di Grassi;11;ABT Schaeffler Audi Sport;Audi;3;7;35;7525;0;15,0,0;15"
"2;4;2016 Buenos Aires;06/02/2016;Stéphane Sarrazin;4;Venturi;Venturi;4;4;35;9415;0;12,0,0;12"
"2;4;2016 Buenos Aires;06/02/2016;Nico Prost;8;Renault e.dams;Nissan-Renault;5;2;35;11316;0;10,0,0;10"
"2;4;2016 Buenos Aires;06/02/2016;Loïc Duval;6;Dragon Racing;Dragon;6;12;35;15660;0;8,0,0;8"
"2;4;2016 Buenos Aires;06/02/2016;Nick Heidfeld;23;Mahindra Racing;Mahindra;7;13;35;16444;0;6,0,0;6"
"2;4;2016 Buenos Aires;06/02/2016;Robin Frijns;27;Amlin Andretti;BMW-Andretti;8;6;35;18685;0;4,0,0;4"
"2;4;2016 Buenos Aires;06/02/2016;Oliver Turvey;88;NEXTEV TCR;NIO-NextEV;9;11;35;22007;0;2,0,0;2"
"2;4;2016 Buenos Aires;06/02/2016;Bruno Senna;21;Mahindra Racing;Mahindra;10;16;35;22456;0;1,0,0;1"
"2;4;2016 Buenos Aires;06/02/2016;Jean-Éric Vergne;25;DS Virgin Racing;Virgin;11;15;35;24482;0;0,0,0;0"
"2;4;2016 Buenos Aires;06/02/2016;Nelson Piquet Jr.;1;NEXTEV TCR;NIO-NextEV;12;9;35;24641;0;0,0,0;0"
"2;4;2016 Buenos Aires;06/02/2016;Daniel Abt;66;ABT Schaeffler Audi Sport;Audi;13;8;35;27998;0;0,0,0;0"
"2;4;2016 Buenos Aires;06/02/2016;Simona de Silvestro;28;Amlin Andretti;BMW-Andretti;14;14;35;36171;0;0,0,0;0"
"2;4;2016 Buenos Aires;06/02/2016;Mike Conway;12;Venturi;Venturi;15;5;35;39581;0;0,0,0;0"
"2;4;2016 Buenos Aires;06/02/2016;Jérôme d'Ambrosio;7;Dragon Racing;Dragon;16;10;34;+1 lap;0;0,0,2;2"
"2;4;2016 Buenos Aires;06/02/2016;António Félix da Costa;55;Team Aguri;Techeetah;99;3;17;99:99.999;1;0,0,0;0"
"2;4;2016 Buenos Aires;06/02/2016;Salvador Durán;77;Team Aguri;Techeetah;99;17;14;99:99.999;1;0,0,0;0"
"2;5;2016 Mexico City;12/03/2016;Jérôme d'Ambrosio;7;Dragon Racing;Dragon;1;1;43;48:28.409;0;25,3,0;28"
"2;5;2016 Mexico City;12/03/2016;Sébastien Buemi;9;Renault e.Dams;Nissan-Renault;2;5;43;+0.106;0;18,0,0;18"
"2;5;2016 Mexico City;12/03/2016;Nico Prost;8;Renault e.dams;Nissan-Renault;3;2;43;25537;0;15,0,2;17"
"2;5;2016 Mexico City;12/03/2016;Loïc Duval;6;Dragon Racing;Dragon;4;7;43;263585;0;12,0,0;12"
"2;5;2016 Mexico City;12/03/2016;Robin Frijns;27;Amlin Andretti;BMW-Andretti;5;12;43;28477;0;10,0,0;10"
"2;5;2016 Mexico City;12/03/2016;Sam Bird;2;DS Virgin Racing;Virgin;6;10;43;28928;0;8,0,0;8"
"2;5;2016 Mexico City;12/03/2016;Daniel Abt;66;ABT Schaeffler Audi Sport;Audi;7;4;43;30051;0;6,0,0;6"
"2;5;2016 Mexico City;12/03/2016;Nick Heidfeld;23;Mahindra Racing;Mahindra;8;8;43;36373;0;4,0,0;4"
"2;5;2016 Mexico City;12/03/2016;Stéphane Sarrazin;4;Venturi;Venturi;9;9;43;37291;0;2,0,0;2"
"2;5;2016 Mexico City;12/03/2016;Bruno Senna;21;Mahindra Racing;Mahindra;10;16;43;37603;0;1,0,0;1"
"2;5;2016 Mexico City;12/03/2016;Oliver Turvey;88;NEXTEV TCR;NIO-NextEV;11;15;43;38598;0;0,0,0;0"
"2;5;2016 Mexico City;12/03/2016;Mike Conway;12;Venturi;Venturi;12;13;43;38790;0;0,0,0;0"
"2;5;2016 Mexico City;12/03/2016;Nelson Piquet Jr.;1;NEXTEV TCR;NIO-NextEV;13;18;43;42351;0;0,0,0;0"
"2;5;2016 Mexico City;12/03/2016;Simona de Silvestro;28;Amlin Andretti;BMW-Andretti;14;11;43;43971;0;0,0,0;0"
"2;5;2016 Mexico City;12/03/2016;Salvador Durán;77;Team Aguri;Techeetah;15;14;43;+1:03.082;0;0,0,0;0"
"2;5;2016 Mexico City;12/03/2016;Jean-Éric Vergne;25;DS Virgin Racing;Virgin;16;6;42;+1 lap;0;0,0,0;0"
"2;5;2016 Mexico City;12/03/2016;António Félix da Costa;55;Team Aguri;Techeetah;99;17;32;99:99.999;1;0,0,0;0"
"2;5;2016 Mexico City;12/03/2016;Lucas di Grassi;11;ABT Schaeffler Audi Sport;Audi;99;3;43;99:99.999;1;0,0,0;0"
"2;6;2016 Long Beach;02/04/2016;Lucas di Grassi;11;Audi Sport ABT;Audi;1;2;41;45:11.582;0;25,0,0;25"
"2;6;2016 Long Beach;02/04/2016;Stéphane Sarrazin;4;Venturi;Venturi;2;3;41;+0.787;0;18,0,0;18"
"2;6;2016 Long Beach;02/04/2016;Daniel Abt;66;Audi Sport ABT;Audi;3;6;41;1685;0;15,0,0;15"
"2;6;2016 Long Beach;02/04/2016;Nick Heidfeld;23;Mahindra;Mahindra;4;4;41;2343;0;12,0,0;12"
"2;6;2016 Long Beach;02/04/2016;Bruno Senna;21;Mahindra;Mahindra;5;10;41;4968;0;10,0,0;10"
"2;6;2016 Long Beach;02/04/2016;Sam Bird;2;Virgin;Virgin;6;1;41;5229;0;8,3,0;11"
"2;6;2016 Long Beach;02/04/2016;Jérôme d'Ambrosio;7;Dragon;Dragon;7;9;41;6735;0;6,0,0;6"
"2;6;2016 Long Beach;02/04/2016;Loïc Duval;6;Dragon;Dragon;8;17;41;8057;0;4,0,0;4"
"2;6;2016 Long Beach;02/04/2016;Simona de Silvestro;28;Andretti;BMW-Andretti;9;12;41;10505;0;2,0,0;2"
"2;6;2016 Long Beach;02/04/2016;Mike Conway;12;Venturi;Venturi;10;15;41;10900;0;1,0,0;1"
"2;6;2016 Long Beach;02/04/2016;Nico Prost;8;e.Dams-Renault;Nissan-Renault;11;8;41;11205;0;0,0,0;0"
"2;6;2016 Long Beach;02/04/2016;Oliver Turvey;88;NextEV TCR;NIO-NextEV;12;13;41;17417;0;0,0,0;0"
"2;6;2016 Long Beach;02/04/2016;Jean-Éric Vergne;25;Virgin;Virgin;13;11;40;+1 lap;0;0,0,0;0"
"2;6;2016 Long Beach;02/04/2016;Salvador Durán;77;Team Aguri;Techeetah;14;16;40;+1 lap;0;0,0,0;0"
"2;6;2016 Long Beach;02/04/2016;Robin Frijns;27;Andretti;BMW-Andretti;15;5;40;+1 lap;0;0,0,0;0"
"2;6;2016 Long Beach;02/04/2016;Sébastien Buemi;9;e.Dams-Renault;Nissan-Renault;16;7;38;+3 laps;0;0,0,2;2"
"2;6;2016 Long Beach;02/04/2016;António Félix da Costa;55;Team Aguri;Techeetah;99;18;33;99:99.999;1;0,0,0;0"
"2;6;2016 Long Beach;02/04/2016;Nelson Piquet Jr.;1;NextEV TCR;NIO-NextEV;99;14;32;99:99.999;1;0,0,0;0"
"2;7;2016 Paris;23/04/2016;Lucas di Grassi;11;Audi Sport ABT;Audi;1;2;45;52:40.324;0;25,0,0;25"
"2;7;2016 Paris;23/04/2016;Jean-Éric Vergne;25;Virgin;Virgin;2;3;45;+0.853;0;18,0,0;18"
"2;7;2016 Paris;23/04/2016;Sébastien Buemi;9;e.dams-Renault;Nissan-Renault;3;8;45;1616;0;15,0,0;15"
"2;7;2016 Paris;23/04/2016;Nico Prost;8;e.dams-Renault;Nissan-Renault;4;5;45;2142;0;12,0,0;12"
"2;7;2016 Paris;23/04/2016;Stéphane Sarrazin;4;Venturi;Venturi;5;4;45;3044;0;10,0,0;10"
"2;7;2016 Paris;23/04/2016;Sam Bird;2;Virgin;Virgin;6;1;45;3856;0;8,3,0;11"
"2;7;2016 Paris;23/04/2016;Robin Frijns;27;Andretti;BMW-Andretti;7;6;45;5141;0;6,0,0;6"
"2;7;2016 Paris;23/04/2016;António Félix da Costa;55;Aguri;Techeetah;8;10;45;7000;0;4,0,0;4"
"2;7;2016 Paris;23/04/2016;Bruno Senna;21;Mahindra;Mahindra;9;13;45;8433;0;2,0,0;2"
"2;7;2016 Paris;23/04/2016;Daniel Abt;66;Audi Sport ABT;Audi;10;14;45;9479;0;1,0,0;1"
"2;7;2016 Paris;23/04/2016;Jérôme d'Ambrosio;7;Dragon;Dragon;11;11;45;10738;0;0,0,0;0"
"2;7;2016 Paris;23/04/2016;Nick Heidfeld;23;Mahindra;Mahindra;12;18;45;12453;0;0,0,2;2"
"2;7;2016 Paris;23/04/2016;Oliver Turvey;88;NEXTEV TCR;NIO-NextEV;13;7;45;13721;0;0,0,0;0"
"2;7;2016 Paris;23/04/2016;Mike Conway;12;Venturi;Venturi;14;17;45;14833;0;0,0,0;0"
"2;7;2016 Paris;23/04/2016;Simona de Silvestro;28;Andretti;BMW-Andretti;99;12;45;99:99.999;1;0,0,0;0"
"2;7;2016 Paris;23/04/2016;Loïc Duval;6;Dragon;Dragon;99;16;4;99:99.999;1;0,0,0;0"
"2;7;2016 Paris;23/04/2016;Ma Qing Hua;77;Aguri;Techeetah;99;15;38;99:99.999;1;0,0,0;0"
"2;7;2016 Paris;23/04/2016;Nelson Piquet Jr.;1;NEXTEV TCR;NIO-NextEV;99;9;39;99:99.999;1;0,0,0;0"
"2;8;2016 Berlin;21/05/2016;Sébastien Buemi;9;e.dams-Renault;Nissan-Renault;1;2;48;53:46.086;0;25,0,0;25"
"2;8;2016 Berlin;21/05/2016;Daniel Abt;66;Audi Sport ABT;Audi;2;3;48;1767;0;18,0,0;18"
"2;8;2016 Berlin;21/05/2016;Lucas di Grassi;11;Audi Sport ABT;Audi;3;8;48;2381;0;15,0,0;15"
"2;8;2016 Berlin;21/05/2016;Nico Prost;8;e.dams-Renault;Nissan-Renault;4;6;48;3328;0;12,0,0;12"
"2;8;2016 Berlin;21/05/2016;Jean-Éric Vergne;25;Virgin;Virgin;5;1;48;4927;0;10,3,0;13"
"2;8;2016 Berlin;21/05/2016;Robin Frijns;27;Andretti;BMW-Andretti;6;12;48;6501;0;8,0,0;8"
"2;8;2016 Berlin;21/05/2016;Nick Heidfeld;23;Mahindra;Mahindra;7;16;48;7700;0;6,0,0;6"
"2;8;2016 Berlin;21/05/2016;Mike Conway;12;Venturi;Venturi;8;11;48;8305;0;4,0,0;4"
"2;8;2016 Berlin;21/05/2016;Simona de Silvestro;28;Andretti;BMW-Andretti;9;10;48;12473;0;2,0,0;2"
"2;8;2016 Berlin;21/05/2016;Stéphane Sarrazin;4;Venturi;Venturi;10;26;48;13241;0;1,0,0;1"
"2;8;2016 Berlin;21/05/2016;Sam Bird;2;Virgin;Virgin;11;4;47;+1 Lap;0;0,0,0;0"
"2;8;2016 Berlin;21/05/2016;Oliver Turvey;88;NextEV TCR;NIO-NextEV;12;7;47;+1 Lap;0;0,0,0;0"
"2;8;2016 Berlin;21/05/2016;Nelson Piquet Jr.;1;NextEV TCR;NIO-NextEV;13;5;47;+1 Lap;0;0,0,0;0"
"2;8;2016 Berlin;21/05/2016;Ma Qing Hua;77;Aguri;Techeetah;14;14;47;+1 Lap;0;0,0,0;0"
"2;8;2016 Berlin;21/05/2016;Bruno Senna;21;Mahindra;Mahindra;15;15;46;+2 Laps;0;0,0,2;2"
"2;8;2016 Berlin;21/05/2016;Jérôme d'Ambrosio;7;Dragon;Dragon;16;17;45;+3 Laps;0;0,0,0;0"
"2;8;2016 Berlin;21/05/2016;Loïc Duval;6;Dragon;Dragon;99;9;39;99:99.999;1;0,0,0;0"
"2;8;2016 Berlin;21/05/2016;René Rast;55;Aguri;Techeetah;99;13;42;+6 Laps;0;0,0,0;0"
"2;9;2016 London;02/07/2016;Nico Prost;8;Renault e.dams;Nissan-Renault;1;1;33;53:56.683;0;25,3,0;28"
"2;9;2016 London;02/07/2016;Bruno Senna;21;Mahindra Racing;Mahindra;2;2;33;5244;0;18,0,0;18"
"2;9;2016 London;02/07/2016;Jean-Éric Vergne;25;DS Virgin Racing;Virgin;3;5;33;8195;0;15,0,0;15"
"2;9;2016 London;02/07/2016;Lucas di Grassi;11;Audi Sport ABT;Audi;4;11;33;8914;0;12,0,0;12"
"2;9;2016 London;02/07/2016;Sébastien Buemi;9;Renault e.dams;Nissan-Renault;5;14;33;10052;0;10,0,0;10"
"2;9;2016 London;02/07/2016;António Félix da Costa;55;Team Aguri;Techeetah;6;16;33;10908;0;8,0,0;8"
"2;9;2016 London;02/07/2016;Sam Bird;2;DS Virgin Racing;Virgin;7;7;33;10986;0;6,0,0;6"
"2;9;2016 London;02/07/2016;Jérôme d'Ambrosio;7;Dragon Racing;Dragon;8;12;33;12106;0;4,0,0;4"
"2;9;2016 London;02/07/2016;Mike Conway;12;Venturi;Venturi;9;15;33;12456;0;2,0,0;2"
"2;9;2016 London;02/07/2016;Stéphane Sarrazin;4;Venturi;Venturi;10;9;33;15918;0;1,0,0;1"
"2;9;2016 London;02/07/2016;Ma Qing Hua;77;Team Aguri;Techeetah;11;13;33;38400;0;0,0,0;0"
"2;9;2016 London;02/07/2016;Nelson Piquet Jr.;1;NextEV TCR;NIO-NextEV;12;17;33;52028;0;0,0,2;2"
"2;9;2016 London;02/07/2016;Nick Heidfeld;23;Mahindra Racing;Mahindra;13;8;33;+1:01.2643;0;0,0,0;0"
"2;9;2016 London;02/07/2016;Simona de Silvestro;28;Amlin Andretti;BMW-Andretti;14;18;33;+1:03.0794;0;0,0,0;0"
"2;9;2016 London;02/07/2016;Oliver Turvey;88;NextEV TCR;NIO-NextEV;15;3;30;+3 laps;0;0,0,0;0"
"2;9;2016 London;02/07/2016;Daniel Abt;66;Audi Sport ABT;Audi;99;6;19;99:99.999;1;0,0,0;0"
"2;9;2016 London;02/07/2016;Loïc Duval;6;Dragon Racing;Dragon;99;10;23;99:99.999;1;0,0,0;0"
"2;9;2016 London;02/07/2016;Robin Frijns;27;Amlin Andretti;BMW-Andretti;99;4;19;99:99.999;1;0,0,0;0"
"2;10;2016 London race 2;03/07/2016;Nico Prost;8;Renault e.dams;Nissan-Renault;1;2;33;56:32.649;0;25,0,0;25"
"2;10;2016 London race 2;03/07/2016;Daniel Abt;66;Audi Sport ABT;Audi;2;6;33;7633;0;18,0,0;18"
"2;10;2016 London race 2;03/07/2016;Jérôme d'Ambrosio;7;Dragon Racing;Dragon;3;11;33;22524;0;15,0,0;15"
"2;10;2016 London race 2;03/07/2016;Loïc Duval;6;Dragon Racing;Dragon;4;10;33;23290;0;12,0,0;12"
"2;10;2016 London race 2;03/07/2016;Stéphane Sarrazin;4;Venturi;Venturi;5;15;33;24984;0;10,0,0;10"
"2;10;2016 London race 2;03/07/2016;Bruno Senna;21;Mahindra Racing;Mahindra;6;13;33;27174;0;8,0,0;8"
"2;10;2016 London race 2;03/07/2016;Nick Heidfeld;23;Mahindra Racing;Mahindra;7;5;33;+1:07.5445;0;6,0,0;6"
"2;10;2016 London race 2;03/07/2016;Jean-Éric Vergne;25;DS Virgin Racing;Virgin;8;7;33;+1:08.00256;0;4,0,0;4"
"2;10;2016 London race 2;03/07/2016;Nelson Piquet Jr.;1;NextEV TCR;NIO-NextEV;9;9;33;+1:14.270;0;2,0,0;2"
"2;10;2016 London race 2;03/07/2016;Oliver Turvey;88;NextEV TCR;NIO-NextEV;10;4;33;+1:22.216;0;1,0,0;1"
"2;10;2016 London race 2;03/07/2016;António Félix da Costa;55;Team Aguri;Techeetah;11;14;33;+1:58.32457;0;0,0,0;0"
"2;10;2016 London race 2;03/07/2016;Ma Qing Hua;77;Team Aguri;Techeetah;12;18;32;+1 Lap;0;0,0,0;0"
"2;10;2016 London race 2;03/07/2016;Mike Conway;12;Venturi;Venturi;13;12;32;+1 Lap;0;0,0,0;0"
"2;10;2016 London race 2;03/07/2016;Lucas di Grassi;11;Audi Sport ABT;Audi;99;3;18;99:99.999;1;0,0,0;0"
"2;10;2016 London race 2;03/07/2016;Robin Frijns;27;Amlin Andretti;BMW-Andretti;99;16;11;99:99.999;1;0,0,0;0"
"2;10;2016 London race 2;03/07/2016;Sébastien Buemi;9;Renault e.dams;Nissan-Renault;99;1;16;99:99.999;1;0,3,2;5"
"2;10;2016 London race 2;03/07/2016;Sam Bird;2;DS Virgin Racing;Virgin;99;8;6;99:99.999;1;0,0,0;0"
"2;10;2016 London race 2;03/07/2016;Simona de Silvestro;28;Amlin Andretti;BMW-Andretti;99;17;9;99:99.999;1;0,0,0;0"
"3;1;2016 Hong Kong;09/10/2016;Sébastien Buemi;9;e.dams-Renault;Nissan-Renault;1;5;45;53:13.298;0;25,0,0;25"
"3;1;2016 Hong Kong;09/10/2016;Lucas di Grassi;11;Audi Sport ABT;Audi;2;19;45;2477;0;18,0,0;18"
"3;1;2016 Hong Kong;09/10/2016;Nick Heidfeld;23;Mahindra;Mahindra;3;10;45;5522;0;15,0,0;15"
"3;1;2016 Hong Kong;09/10/2016;Nico Prost;8;e.dams-Renault;Nissan-Renault;4;9;45;7360;0;12,0,0;12"
"3;1;2016 Hong Kong;09/10/2016;António Félix da Costa;28;Andretti-BMW;BMW-Andretti;5;13;45;17987;0;10,0,0;10"
